,X,Channel,Activity,Genotype,Sex,Age,Rep
138,907,adj_Monitor50_ch14,1439.8,W422X,F,W0,R3
139,740,adj_Monitor39_ch7,1439.2,W422X,M,W0,R2
140,17,adj_Monitor10_ch25,1438.2,Y160C,F,W0,R4
141,523,adj_Monitor30_ch4,1437,Y160C,F,W0,R1
142,71,adj_Monitor14_ch17,1436.8,W422X,F,W0,R1
143,442,adj_Monitor28_ch14,1434.6,W422X,M,W0,R1
144,752,adj_Monitor3_ch18,1427.4,W422X,M,W0,R3
145,420,adj_Monitor27_ch21,1427.4,WG2,M,W0,R4
146,605,adj_Monitor33_ch24,1426,Y160C,M,W0,R3
147,224,adj_Monitor1_ch13,1424.4,Y160C,F,W0,R3
148,375,adj_Monitor24_ch8,1424,WG2,F,W0,R1
149,325,adj_Monitor22_ch2,1423,KO,F,W0,R1
150,367,adj_Monitor24_ch3,1420.6,WG2,F,W0,R1
151,560,adj_Monitor32_ch10,1420.4,WG2,M,W0,R1
152,43,adj_Monitor11_ch20,1418.8,W422X,F,W0,R4
153,862,adj_Monitor45_ch31,1418.2,KO,F,W0,R3
154,205,adj_Monitor19_ch25,1417.8,KO,M,W0,R2
155,46,adj_Monitor11_ch23,1417.4,W422X,F,W0,R4
156,141,adj_Monitor16_ch22,1416.6,WG2,F,W0,R4
157,786,adj_Monitor41_ch2,1416,Y160C,M,W0,R4
158,908,adj_Monitor50_ch15,1415.6,W422X,F,W0,R3
159,56,adj_Monitor11_ch32,1412.8,W422X,F,W0,R4
160,715,adj_Monitor39_ch13,1412.4,W422X,M,W0,R2
161,767,adj_Monitor3_ch31,1408.4,W422X,M,W0,R3
162,93,adj_Monitor14_ch8,1404.2,W422X,F,W0,R1
163,267,adj_Monitor20_ch24,1402.6,Y160C,M,W0,R1
164,331,adj_Monitor22_ch25,1401.4,KO,F,W0,R1
165,254,adj_Monitor20_ch11,1398,Y160C,M,W0,R1
166,902,adj_Monitor50_ch1,1396.8,W422X,F,W0,R3
167,529,adj_Monitor31_ch10,1396.8,W422X,M,W0,R4
168,250,adj_Monitor1_ch8,1396.2,Y160C,F,W0,R3
169,922,adj_Monitor50_ch28,1395.8,W422X,F,W0,R3
170,639,adj_Monitor34_ch28,1395.2,KO,M,W0,R1
171,346,adj_Monitor24_ch10,1394.6,WG2,F,W0,R1
172,994,adj_Monitor6_ch8,1394,KO,F,W0,R4
173,313,adj_Monitor21_ch9,1393.8,WG2,M,W0,R3
174,189,adj_Monitor18_ch8,1393.4,KO,F,W0,R2
175,5,adj_Monitor10_ch14,1390.2,Y160C,F,W0,R4
176,797,adj_Monitor41_ch3,1390,Y160C,M,W0,R4
177,808,adj_Monitor42_ch10,1389.4,W422X,F,W0,R2
178,37,adj_Monitor11_ch15,1386.8,W422X,F,W0,R4
179,119,adj_Monitor15_ch31,1386.8,Y160C,F,W0,R2
180,228,adj_Monitor1_ch17,1385.8,Y160C,F,W0,R3
181,111,adj_Monitor15_ch24,1385.2,Y160C,F,W0,R2
182,16,adj_Monitor10_ch24,1382.8,Y160C,F,W0,R4
